source,month,year,url,filename
yellow,01,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-01.csv,yellow-2017-01.csv
green,01,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-01.csv,green-2017-01.csv
fhv,01,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-01.csv,fhv-2017-01.csv
yellow,02,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-02.csv,yellow-2017-02.csv
green,02,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-02.csv,green-2017-02.csv
fhv,02,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-02.csv,fhv-2017-02.csv
yellow,03,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-03.csv,yellow-2017-03.csv
green,03,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-03.csv,green-2017-03.csv
fhv,03,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-03.csv,fhv-2017-03.csv
yellow,04,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-04.csv,yellow-2017-04.csv
green,04,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-04.csv,green-2017-04.csv
fhv,04,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-04.csv,fhv-2017-04.csv
yellow,05,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-05.csv,yellow-2017-05.csv
green,05,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-05.csv,green-2017-05.csv
fhv,05,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-05.csv,fhv-2017-05.csv
yellow,06,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-06.csv,yellow-2017-06.csv
green,06,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-06.csv,green-2017-06.csv
fhv,06,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-06.csv,fhv-2017-06.csv
yellow,07,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-07.csv,yellow-2017-07.csv
green,07,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-07.csv,green-2017-07.csv
fhv,07,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-07.csv,fhv-2017-07.csv
yellow,08,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-08.csv,yellow-2017-08.csv
green,08,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-08.csv,green-2017-08.csv
fhv,08,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-08.csv,fhv-2017-08.csv
yellow,09,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-09.csv,yellow-2017-09.csv
green,09,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-09.csv,green-2017-09.csv
fhv,09,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-09.csv,fhv-2017-09.csv
yellow,10,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-10.csv,yellow-2017-10.csv
green,10,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-10.csv,green-2017-10.csv
fhv,10,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-10.csv,fhv-2017-10.csv
yellow,11,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-11.csv,yellow-2017-11.csv
green,11,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-11.csv,green-2017-11.csv
fhv,11,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-11.csv,fhv-2017-11.csv
yellow,12,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-12.csv,yellow-2017-12.csv
green,12,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-12.csv,green-2017-12.csv
fhv,12,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-12.csv,fhv-2017-12.csv
yellow,01,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-01.csv,yellow-2016-01.csv
green,01,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-01.csv,green-2016-01.csv
fhv,01,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-01.csv,fhv-2016-01.csv
yellow,02,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-02.csv,yellow-2016-02.csv
green,02,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-02.csv,green-2016-02.csv
fhv,02,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-02.csv,fhv-2016-02.csv
yellow,03,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-03.csv,yellow-2016-03.csv
green,03,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-03.csv,green-2016-03.csv
fhv,03,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-03.csv,fhv-2016-03.csv
yellow,04,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-04.csv,yellow-2016-04.csv
green,04,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-04.csv,green-2016-04.csv
fhv,04,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-04.csv,fhv-2016-04.csv
yellow,05,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-05.csv,yellow-2016-05.csv
green,05,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-05.csv,green-2016-05.csv
fhv,05,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-05.csv,fhv-2016-05.csv
yellow,06,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-06.csv,yellow-2016-06.csv
green,06,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-06.csv,green-2016-06.csv
fhv,06,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-06.csv,fhv-2016-06.csv
yellow,07,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-07.csv,yellow-2016-07.csv
green,07,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-07.csv,green-2016-07.csv
fhv,07,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-07.csv,fhv-2016-07.csv
yellow,08,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-08.csv,yellow-2016-08.csv
green,08,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-08.csv,green-2016-08.csv
fhv,08,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-08.csv,fhv-2016-08.csv
yellow,09,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-09.csv,yellow-2016-09.csv
green,09,2016,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-09.csv,green-2016-09.csv
